4,23,366,373,0
4,24,298,660,0
4,25,625,345,0
4,26,348,299,0
4,27,741,211,0
4,28,532,78,0
4,29,180,502,0
4,30,278,390,0
4,31,98,527,0
4,32,273,214,0
4,33,166,642,0
4,34,189,677,0
4,35,134,191,0
4,36,538,352,0
4,37,580,264,0
4,38,69,544,0
4,39,701,591,0
4,40,530,491,0
4,41,258,452,0
4,42,676,575,0
4,43,442,291,0
5,0,182,647,0
5,1,347,618,0
5,2,19,232,0
5,3,267,619,0
5,4,323,744,0
5,5,454,654,0
5,6,57,548,0
5,7,268,81,0
5,8,577,638,0
5,9,371,701,0
5,11,148,482,0
5,12,216,437,0
5,13,217,492,0
5,14,77,124,0
5,15,469,194,0
5,16,696,248,0
5,17,52,467,0
5,18,724,511,0
5,19,148,19,0
5,20,584,324,0
5,21,443,290,0
5,22,730,572,0
5,23,367,373,0
5,24,299,660,0
5,25,625,344,0
5,26,349,300,0
5,27,741,212,0
5,28,532,78,0
5,29,180,502,0
5,30,278,390,0
5,31,98,527,0
5,32,273,214,0
5,33,166,642,0
5,34,189,677,0
5,35,134,191,0
5,36,538,352,0
5,37,580,264,0
5,38,69,544,0
5,39,701,591,0
5,40,530,491,0
5,41,258,452,0
5,42,676,575,0
5,43,442,290,0
6,0,183,647,0
6,1,346,619,0
6,2,19,232,0
6,3,266,620,0
6,4,324,745,0
6,5,455,653,0
6,6,56,548,0
6,7,268,80,0
6,8,576,638,0
6,9,371,701,0
6,11,149,483,0
6,12,216,436,0
6,13,218,492,0
6,14,76,124,0
6,15,470,194,0
6,16,697,249,0
6,17,51,468,0
6,18,724,512,0
6,19,149,19,0
6,20,585,324,0
6,21,443,289,0
6,22,731,571,0
6,23,368,373,0
6,24,300,659,0
6,25,624,343,0
6,26,349,301,0
6,27,741,213,0
6,28,532,78,0
6,29,180,502,0
6,30,278,390,0
6,31,98,527,0
6,32,273,214,0
6,33,166,642,0
6,34,189,677,0
6,35,134,191,0
6,36,538,352,0
6,37,580,264,0
6,38,69,544,0
6,39,701,591,0
6,40,530,491,0
6,41,258,452,0
6,42,676,575,0
6,43,443,289,0
7,0,184,647,0
7,1,345,619,0
7,2,18,231,0
7,3,265,620,0
7,4,324,746,0
7,5,456,653,0
7,6,55,547,0
7,7,268,79,0
7,8,575,638,0
7,9,372,702,0
7,11,150,483,0
7,12,215,435,0
7,13,219,492,0
7,14,75,125,0
7,15,471,193,0
7,16,698,250,0
7,17,50,468,0
7,18,723,513,0
7,19,150,20,0
7,20,586,324,0
7,21,443,288,0
7,22,731,570,0
7,23,369,373,0
7,24,301,659,0
7,25,624,342,0
7,26,350,301,0
7,27,741,214,0
7,28,532,78,0
7,29,180,502,0
7,30,278,390,0
7,31,98,527,0
7,32,273,214,0
7,33,166,642,0
7,34,189,677,0
7,35,134,191,0
7,36,538,352,0
7,37,580,264,0
7,38,69,544,0
7,39,701,591,0
7,40,530,491,0
7,41,258,452,0
7,42,676,575,0
7,43,443,288,0
8,0,185,647,0
8,1,344,619,0
8,2,18,230,0
8,3,264,620,0
8,4,324,747,0
8,5,457,652,0
8,6,54,547,0
8,7,268,78,0
8,8,575,637,0
8,9,373,703,0
8,11,151,484,0
8,12,215,434,0
8,13,220,492,0
8,14,74,125,0
8,15,471,193,0
8,16,699,250,0
8,17,50,469,0
8,18,723,514,0
8,19,151,20,0
8,20,587,324,0
8,21,443,287,0
8,22,732,569,0
8,23,370,373,0
8,24,302,658,0
8,25,624,341,0
8,26,350,302,0
8,27,741,215,0
8,28,532,78,0
8,29,180,502,0
8,30,278,390,0
8,31,98,527,0
8,32,273,214,0
8,33,166,642,0
8,34,189,677,0
8,35,134,191,0
8,36,538,352,0
8,37,580,264,0
8,38,69,544,0
8,39,701,591,0
8,40,530,491,0
8,41,258,452,0
8,42,676,575,0
8,43,443,287,0
9,0,186,647,0
9,1,343,620,0
9,2,18,229,0
9,3,263,620,0
9,4,324,748,0
9,5,458,651,0
9,6,53,547,0
9,7,268,77,0
9,8,574,637,0
9,9,374,703,0
9,11,152,484,0
9,12,215,433,0
9,13,221,492,0
9,14,73,125,0
9,15,472,192,0
9,16,700,251,0
9,17,49,470,0
9,18,722,515,0
9,19,152,20,0
9,20,588,324,0
9,21,443,286,0
9,22,732,568,0
9,23,371,373,0
9,24,302,658,0
9,25,623,340,0
9,26,351,303,0
9,27,741,216,0
9,28,532,78,0
9,29,180,502,0
9,30,278,390,0
9,31,98,527,0
9,32,273,214,0
9,33,166,642,0
9,34,189,677,0
9,35,134,191,0
9,36,538,352,0
9,37,580,264,0
9,38,69,544,0
9,39,701,591,0
9,40,530,491,0
9,41,258,452,0
9,42,676,575,0
9,43,443,286,0
10,0,187,646,0
10,1,343,620,0
10,2,17,228,0
10,3,262,620,0
10,4,324,749,0
10,5,458,651,0
10,6,52,547,0
10,7,267,76,0
10,8,573,636,0
10,9,374,704,0
10,11,153,484,0
10,12,215,432,0
10,13,221,492,0
10,14,73,126,0
10,15,473,191,0
10,16,700,252,0
10,17,49,471,0
10,18,721,515,0
10,19,153,21,0
10,20,589,323,0
10,21,443,285,0
10,22,733,567,0
10,23,372,373,0
10,24,303,657,0
10,25,623,339,0
10,26,351,304,0
10,27,742,217,0
10,28,532,78,0
10,29,180,502,0
10,30,278,390,0
10,31,98,527,0
10,32,273,214,0
10,33,166,642,0
10,34,189,677,0
10,35,134,191,0
10,36,538,352,0
10,37,580,264,0
10,38,69,544,0
10,39,701,591,0
10,40,530,491,0
10,41,258,452,0
10,42,676,575,0
10,43,443,285,0
11,0,187,646,0
11,1,342,621,0
11,2,17,227,0
11,3,261,621,0
11,4,325,750,0
11,5,459,650,0
11,6,51,547,0
11,7,267,75,0
11,8,572,636,0
11,9,375,705,0
11,11,154,485,0
11,12,215,431,0
11,13,222,492,0
11,14,72,126,0
11,15,474,191,0
11,16,701,252,0
11,17,48,472,0
11,18,721,516,0
11,19,154,21,0
11,20,590,323,0
11,21,443,284,0
11,22,733,566,0
11,23,373,373,0
11,24,304,657,0
11,25,623,338,0
11,26,352,305,0
11,27,742,218,0
11,28,532,78,0
11,29,180,502,0
11,30,278,390,0
11,31,98,527,0
11,32,273,214,0
11,33,166,642,0
11,34,189,677,0
11,35,134,191,0
11,36,538,352,0
11,37,580,264,0
11,38,69,544,0
11,39,701,591,0
11,40,530,491,0
11,41,258,452,0
11,42,676,575,0
11,43,444,284,0
12,0,188,645,0
12,1,341,621,0
12,2,16,226,0
12,3,260,621,0
12,4,325,1,0
12,5,460,650,0
12,6,50,547,0
12,7,267,74,0
12,8,571,636,0
12,9,376,706,0
12,11,155,485,0
12,12,215,430,0
12,13,223,492,0
12,14,71,127,0
12,15,475,190,0
12,16,702,253,0
12,17,48,473,0
12,18,720,517,0
12,19,155,21,0
12,20,591,323,0
12,21,444,284,0
12,22,733,565,0
12,23,374,373,0
12,24,305,656,0
12,25,623,337,0
12,26,352,306,0
12,27,742,219,0
12,28,532,78,0
12,29,180,502,0
12,30,278,390,0
12,31,98,527,0
12,32,273,214,0
12,33,166,642,0
12,34,189,677,0
12,35,134,191,0
12,36,538,352,0
12,37,580,264,0
12,38,69,544,0
12,39,701,591,0
12,40,530,491,0
12,41,258,452,0
12,42,676,575,0
12,43,444,283,0
13,0,189,645,0
13,1,340,622,0
13,2,16,225,0
13,3,259,621,0
13,4,325,2,0
13,5,461,649,0
13,6,49,547,0
13,7,267,73,0
13,8,570,635,0
13,9,376,706,0
13,11,156,485,0
13,12,214,429,0
13,13,224,492,0
13,14,70,127,0
13,15,475,190,0
13,16,703,254,0
13,17,47,473,0
13,18,720,518,0
13,19,156,21,0
13,20,592,323,0
13,21,444,283,0
13,22,734,564,0
13,23,375,373,0
13,24,306,656,0
13,25,622,336,0
13,26,353,306,0
13,27,742,220,0
13,28,532,78,0
13,29,180,502,0
13,30,278,390,0
13,31,98,527,0
13,32,273,214,0
13,33,166,642,0
13,34,189,677,0
13,35,134,191,0
13,36,538,352,0
13,37,580,264,0
13,38,69,544,0
13,39,701,591,0
13,40,530,491,0
