0,5,count
174,Grass,10
174,Hunter,10
174,Prey,15
175,Grass,10
175,Hunter,10
175,Prey,15
176,Grass,10
176,Hunter,10
176,Prey,15
177,Grass,10
177,Hunter,10
177,Prey,16
178,Grass,10
178,Hunter,10
178,Prey,16
179,Grass,10
179,Hunter,10
179,Prey,16
180,Grass,10
180,Hunter,10
180,Prey,16
181,Grass,10
181,Hunter,10
181,Prey,16
182,Grass,10
182,Hunter,9
182,Prey,16
183,Grass,10
183,Hunter,9
183,Prey,16
184,Grass,10
184,Hunter,9
184,Prey,16
185,Grass,10
185,Hunter,9
185,Prey,16
186,Grass,10
186,Hunter,9
186,Prey,16
187,Grass,10
187,Hunter,9
187,Prey,16
188,Grass,10
188,Hunter,9
188,Prey,16
189,Grass,10
189,Hunter,9
189,Prey,16
190,Grass,10
190,Hunter,9
190,Prey,16
191,Grass,10
191,Hunter,9
191,Prey,16
192,Grass,10
192,Hunter,9
192,Prey,16
193,Grass,10
193,Hunter,9
193,Prey,16
194,Grass,10
194,Hunter,9
194,Prey,16
195,Grass,10
195,Hunter,9
195,Prey,16
196,Grass,10
196,Hunter,9
196,Prey,16
197,Grass,10
197,Hunter,9
197,Prey,16
198,Grass,10
198,Hunter,9
198,Prey,16
199,Grass,10
199,Hunter,9
199,Prey,16
200,Grass,10
200,Hunter,9
200,Prey,16
201,Grass,10
201,Hunter,9
201,Prey,16
202,Grass,10
202,Hunter,9
202,Prey,16
203,Grass,10
203,Hunter,9
203,Prey,16
204,Grass,10
204,Hunter,9
204,Prey,16
205,Grass,10
205,Hunter,9
205,Prey,16
206,Grass,10
206,Hunter,9
206,Prey,16
207,Grass,10
207,Hunter,9
207,Prey,16
208,Grass,10
208,Hunter,9
208,Prey,16
209,Grass,10
209,Hunter,9
209,Prey,16
210,Grass,10
210,Hunter,9
210,Prey,16
211,Grass,10
211,Hunter,9
211,Prey,16
212,Grass,10
212,Hunter,9
212,Prey,16
213,Grass,10
213,Hunter,9
213,Prey,16
214,Grass,10
214,Hunter,9
214,Prey,16
215,Grass,10
215,Hunter,9
215,Prey,16
216,Grass,10
216,Hunter,9
216,Prey,16
217,Grass,10
217,Hunter,9
217,Prey,16
218,Grass,10
218,Hunter,9
218,Prey,16
219,Grass,10
219,Hunter,9
219,Prey,16
220,Grass,10
220,Hunter,9
220,Prey,16
221,Grass,10
221,Hunter,9
221,Prey,16
222,Grass,10
222,Hunter,9
222,Prey,16
223,Grass,10
223,Hunter,9
223,Prey,16
224,Grass,10
224,Hunter,9
224,Prey,16
225,Grass,10
225,Hunter,9
225,Prey,16
226,Grass,10
226,Hunter,9
226,Prey,16
227,Grass,10
227,Hunter,9
227,Prey,16
228,Grass,10
228,Hunter,9
228,Prey,16
229,Grass,10
229,Hunter,9
229,Prey,16
230,Grass,10
230,Hunter,9
230,Prey,16
231,Grass,10
231,Hunter,9
231,Prey,16
232,Grass,10
232,Hunter,9
232,Prey,16
233,Grass,10
233,Hunter,9
233,Prey,16
234,Grass,10
234,Hunter,9
234,Prey,16
235,Grass,10
235,Hunter,9
235,Prey,16
236,Grass,10
236,Hunter,9
236,Prey,16
237,Grass,10
237,Hunter,9
237,Prey,16
238,Grass,10
238,Hunter,9
238,Prey,16
239,Grass,10
239,Hunter,9
239,Prey,16
240,Grass,10
240,Hunter,9
240,Prey,16
241,Grass,10
241,Hunter,9
241,Prey,16
242,Grass,10
242,Hunter,9
242,Prey,16
243,Grass,10
243,Hunter,9
243,Prey,16
244,Grass,10
244,Hunter,9
244,Prey,16
245,Grass,10
245,Hunter,9
245,Prey,16
246,Grass,10
246,Hunter,9
246,Prey,16
247,Grass,10
247,Hunter,9
247,Prey,16
248,Grass,10
248,Hunter,9
248,Prey,16
249,Grass,10
249,Hunter,9
249,Prey,16
250,Grass,10
250,Hunter,9
250,Prey,16
251,Grass,10
251,Hunter,9
251,Prey,16
252,Grass,10
252,Hunter,9
252,Prey,16
253,Grass,10
253,Hunter,9
253,Prey,16
254,Grass,10
254,Hunter,9
254,Prey,16
255,Grass,10
255,Hunter,9
255,Prey,16
256,Grass,10
256,Hunter,9
256,Prey,16
257,Grass,10
257,Hunter,9
257,Prey,16
258,Grass,10
258,Hunter,9
258,Prey,16
259,Grass,10
259,Hunter,9
259,Prey,16
260,Grass,10
260,Hunter,9
260,Prey,16
261,Grass,10
261,Hunter,9
261,Prey,16
262,Grass,10
262,Hunter,9
262,Prey,16
263,Grass,10
263,Hunter,9
263,Prey,16
264,Grass,10
264,Hunter,9
264,Prey,16
265,Grass,10
265,Hunter,9
265,Prey,16
266,Grass,10
266,Hunter,9
266,Prey,16
267,Grass,10
267,Hunter,9
267,Prey,16
268,Grass,10
268,Hunter,9
268,Prey,16
269,Grass,10
269,Hunter,9
269,Prey,16
270,Grass,10
270,Hunter,9
270,Prey,16
271,Grass,10
271,Hunter,9
271,Prey,16
272,Grass,10
272,Hunter,9
272,Prey,16
273,Grass,10
273,Hunter,9
273,Prey,16
274,Grass,10
274,Hunter,9
274,Prey,16
275,Grass,10
275,Hunter,9
275,Prey,16
276,Grass,10
276,Hunter,9
276,Prey,16
277,Grass,10
277,Hunter,9
277,Prey,16
278,Grass,10
278,Hunter,9
278,Prey,16
279,Grass,10
279,Hunter,9
279,Prey,16
280,Grass,10
280,Hunter,9
280,Prey,16
281,Grass,10
281,Hunter,9
281,Prey,16
282,Grass,10
282,Hunter,9
282,Prey,16
283,Grass,10
283,Hunter,9
283,Prey,16
284,Grass,10
284,Hunter,9
284,Prey,16
285,Grass,10
285,Hunter,9
285,Prey,16
286,Grass,10
286,Hunter,9
